,LocationAbbr,LocationDesc,LocationID,Topic,TopicID,YearStart,YearEnd,StratificationCategoryID1,StratificationID1,Question,QuestionID,DataValueType,DataValueTypeID,DataValueUnit,LowConfidenceLimit,HighConfidenceLimit,DataValueAlt,Location Abbr,Hospital Number,Population,Incidence,Mortality
0,AK,Alaska,2,Alcohol,ALC,2011,2011,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,6.2,8.7,7.4,AK,11.0,733406.0,8.6,8.6
1,AK,Alaska,2,Alcohol,ALC,2012,2012,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,5.6,7.8,6.6,AK,11.0,733406.0,8.6,8.6
2,AK,Alaska,2,Alcohol,ALC,2013,2013,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7.1,9.5,8.2,AK,11.0,733406.0,8.6,8.6
3,AK,Alaska,2,Alcohol,ALC,2014,2014,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7.7,10.1,8.8,AK,11.0,733406.0,8.6,8.6
4,AK,Alaska,2,Alcohol,ALC,2015,2015,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7.0,10.4,8.6,AK,11.0,733406.0,8.6,8.6
5,AK,Alaska,2,Alcohol,ALC,2016,2016,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,4.9,7.4,6.1,AK,11.0,733406.0,8.6,8.6
6,AK,Alaska,2,Alcohol,ALC,2017,2017,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,6.9,10.3,8.4,AK,11.0,733406.0,8.6,8.6
7,AK,Alaska,2,Alcohol,ALC,2018,2018,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,5.9,9.1,7.3,AK,11.0,733406.0,8.6,8.6
8,AK,Alaska,2,Alcohol,ALC,2019,2019,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,6.6,9.4,7.9,AK,11.0,733406.0,8.6,8.6
9,AK,Alaska,2,Alcohol,ALC,2020,2020,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,8.1,11.0,9.4,AK,11.0,733406.0,8.6,8.6
10,AK,Alaska,2,Alcohol,ALC,2021,2021,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7.6,9.9,8.7,AK,11.0,733406.0,8.6,8.6
11,AK,Alaska,2,Arthritis,ART,2011,2011,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.6,23.0,21.3,AK,11.0,733406.0,22.57,22.57
12,AK,Alaska,2,Arthritis,ART,2012,2012,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,20.9,24.2,22.5,AK,11.0,733406.0,22.57,22.57
13,AK,Alaska,2,Arthritis,ART,2013,2013,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.1,24.4,22.7,AK,11.0,733406.0,22.57,22.57
